"n","Country","State","Model","Error"
17,"USA","MA","QRF",0
18,"USA","MA","QRF",0
19,"USA","MA","QRF",0
20,"USA","MA","QRF",0
21,"USA","MA","QRF",0
22,"USA","MA","QRF",0
23,"USA","MA","QRF",0
24,"USA","MA","QRF",0
25,"USA","MA","QRF",0
26,"USA","MA","QRF",0
27,"USA","MA","QRF",0
28,"USA","MA","QRF",0
29,"USA","MA","QRF",0
30,"USA","MA","QRF",0
31,"USA","MA","QRF",0
32,"USA","MA","QRF",0
33,"USA","MA","QRF",0
34,"USA","MA","QRF",0
35,"USA","MA","QRF",0
36,"USA","MA","QRF",0
37,"USA","MA","QRF",0
38,"USA","MA","QRF",0
39,"USA","MA","QRF",0
40,"USA","MA","QRF",1
41,"USA","MA","QRF",1
42,"USA","MA","QRF",1
43,"USA","MA","QRF",0
44,"USA","MA","QRF",0
45,"USA","MA","QRF",0
46,"USA","MA","QRF",0
47,"USA","MA","QRF",0
48,"USA","MA","QRF",0
49,"USA","MA","QRF",0
50,"USA","MA","QRF",-15
51,"USA","MA","QRF",0
52,"USA","MA","QRF",0
53,"USA","MA","QRF",0
54,"USA","MA","QRF",0
55,"USA","MA","QRF",0
56,"USA","MA","QRF",0
57,"USA","MA","QRF",0
58,"USA","MA","QRF",0
59,"USA","MA","QRF",0
60,"USA","MA","QRF",0
61,"USA","MA","QRF",0
62,"USA","MA","QRF",0
63,"USA","MA","QRF",0
64,"USA","MA","QRF",0
65,"USA","MA","QRF",0
66,"USA","MA","QRF",0
67,"USA","MA","QRF",0
68,"USA","MA","QRF",0
69,"USA","MA","QRF",0
70,"USA","MA","QRF",0
71,"USA","MA","QRF",0
72,"USA","MA","QRF",0
73,"USA","MA","QRF",0
74,"USA","MA","QRF",0
75,"USA","MA","QRF",0
76,"USA","MA","QRF",0
77,"USA","MA","QRF",0
78,"USA","MA","QRF",0
79,"USA","MA","QRF",0
80,"USA","MA","QRF",0
81,"USA","MA","QRF",0
82,"USA","MA","QRF",0
83,"USA","MA","QRF",0
84,"USA","MA","QRF",0
85,"USA","MA","QRF",0
86,"USA","MA","QRF",0
87,"USA","MA","QRF",0
88,"USA","MA","QRF",0
89,"USA","MA","QRF",3122
90,"USA","MA","QRF",4867
91,"USA","MA","QRF",7946
92,"USA","MA","QRF",12892
93,"USA","MA","QRF",15271
94,"USA","MA","QRF",16861
95,"USA","MA","QRF",18385
1,"USA","NJ","KNN",0
2,"USA","NJ","KNN",0
3,"USA","NJ","KNN",-1844
4,"USA","NJ","KNN",-1058
5,"USA","NJ","KNN",0
6,"USA","NJ","KNN",-735
7,"USA","NJ","KNN",0
8,"USA","NJ","KNN",0
9,"USA","NJ","KNN",0
10,"USA","NJ","KNN",0
11,"USA","NJ","KNN",-735
12,"USA","NJ","KNN",-649
13,"USA","NJ","KNN",-35
14,"USA","NJ","KNN",-184
15,"USA","NJ","KNN",-1
16,"USA","NJ","KNN",0
17,"USA","NJ","KNN",-1
18,"USA","NJ","KNN",0
19,"USA","NJ","KNN",-735
20,"USA","NJ","KNN",-3327
21,"USA","NJ","KNN",-814
22,"USA","NJ","KNN",-1
23,"USA","NJ","KNN",0
24,"USA","NJ","KNN",0
25,"USA","NJ","KNN",0
26,"USA","NJ","KNN",-52
27,"USA","NJ","KNN",-2384
28,"USA","NJ","KNN",-2413
29,"USA","NJ","KNN",0
30,"USA","NJ","KNN",0
31,"USA","NJ","KNN",0
32,"USA","NJ","KNN",-1
33,"USA","NJ","KNN",-54
34,"USA","NJ","KNN",-194
35,"USA","NJ","KNN",-8204
36,"USA","NJ","KNN",-1
37,"USA","NJ","KNN",0
38,"USA","NJ","KNN",0
39,"USA","NJ","KNN",0
40,"USA","NJ","KNN",-52
41,"USA","NJ","KNN",-2231
42,"USA","NJ","KNN",-2955
43,"USA","NJ","KNN",-192
44,"USA","NJ","KNN",-616
45,"USA","NJ","KNN",4
46,"USA","NJ","KNN",-46
47,"USA","NJ","KNN",12
48,"USA","NJ","KNN",-2609
49,"USA","NJ","KNN",-2216
50,"USA","NJ","KNN",-145
51,"USA","NJ","KNN",-2902
52,"USA","NJ","KNN",-2438
53,"USA","NJ","KNN",-8
54,"USA","NJ","KNN",-371
55,"USA","NJ","KNN",-1447
56,"USA","NJ","KNN",547
57,"USA","NJ","KNN",-3496
58,"USA","NJ","KNN",-3861
59,"USA","NJ","KNN",-718
60,"USA","NJ","KNN",459
61,"USA","NJ","KNN",2940
62,"USA","NJ","KNN",3344
63,"USA","NJ","KNN",5386
64,"USA","NJ","KNN",6490
65,"USA","NJ","KNN",8879
66,"USA","NJ","KNN",8198
67,"USA","NJ","KNN",13309
68,"USA","NJ","KNN",6453
69,"USA","NJ","KNN",12690
70,"USA","NJ","KNN",14566
71,"USA","NJ","KNN",28484
72,"USA","NJ","KNN",31406
73,"USA","NJ","KNN",5243
74,"USA","NJ","KNN",176
75,"USA","NJ","KNN",-591
76,"USA","NJ","KNN",-1699
77,"USA","NJ","KNN",3315
78,"USA","NJ","KNN",6876
79,"USA","NJ","KNN",-3317
80,"USA","NJ","KNN",-5824
81,"USA","NJ","KNN",-3090
82,"USA","NJ","KNN",3954
83,"USA","NJ","KNN",17896
84,"USA","NJ","KNN",7643
85,"USA","NJ","KNN",1312
86,"USA","NJ","KNN",2268
87,"USA","NJ","KNN",3456
88,"USA","NJ","KNN",6877
89,"USA","NJ","KNN",6226
90,"USA","NJ","KNN",9753
91,"USA","NJ","KNN",12497
92,"USA","NJ","KNN",14038
93,"USA","NJ","KNN",26221
94,"USA","NJ","KNN",23561
95,"USA","NJ","KNN",31141
96,"USA","NJ","KNN",29112
1,"USA","NJ","SVR",-1544
2,"USA","NJ","SVR",-2593
3,"USA","NJ","SVR",-4146
4,"USA","NJ","SVR",-3753
5,"USA","NJ","SVR",-6538
6,"USA","NJ","SVR",-7943
7,"USA","NJ","SVR",-2400
8,"USA","NJ","SVR",-3029
9,"USA","NJ","SVR",-4711
10,"USA","NJ","SVR",-6321
11,"USA","NJ","SVR",-8079
12,"USA","NJ","SVR",-9607
13,"USA","NJ","SVR",-2580
14,"USA","NJ","SVR",-4002
15,"USA","NJ","SVR",-5386
16,"USA","NJ","SVR",-6658
17,"USA","NJ","SVR",-8018
18,"USA","NJ","SVR",-9559
19,"USA","NJ","SVR",-2343
20,"USA","NJ","SVR",-3292
21,"USA","NJ","SVR",-5250
22,"USA","NJ","SVR",-6430
23,"USA","NJ","SVR",-7676
24,"USA","NJ","SVR",-8362
25,"USA","NJ","SVR",-1601
26,"USA","NJ","SVR",-3004
27,"USA","NJ","SVR",-4745
28,"USA","NJ","SVR",-6462
29,"USA","NJ","SVR",-7737
30,"USA","NJ","SVR",-8914
31,"USA","NJ","SVR",-1696
32,"USA","NJ","SVR",-2619
33,"USA","NJ","SVR",-4231
34,"USA","NJ","SVR",-6058
35,"USA","NJ","SVR",-8036
36,"USA","NJ","SVR",-9059
37,"USA","NJ","SVR",-2155
38,"USA","NJ","SVR",-3178
39,"USA","NJ","SVR",-4669
40,"USA","NJ","SVR",-6081
41,"USA","NJ","SVR",-8060
42,"USA","NJ","SVR",-9794
43,"USA","NJ","SVR",-2586
44,"USA","NJ","SVR",-3628
45,"USA","NJ","SVR",-5044
46,"USA","NJ","SVR",-6485
47,"USA","NJ","SVR",-8082
48,"USA","NJ","SVR",-10222
49,"USA","NJ","SVR",-2745
50,"USA","NJ","SVR",-3935
51,"USA","NJ","SVR",-5879
52,"USA","NJ","SVR",-7659
53,"USA","NJ","SVR",-9498
54,"USA","NJ","SVR",-10889
55,"USA","NJ","SVR",-2227
56,"USA","NJ","SVR",-3211
57,"USA","NJ","SVR",-3532
58,"USA","NJ","SVR",-5960
59,"USA","NJ","SVR",-6754
60,"USA","NJ","SVR",-7693
61,"USA","NJ","SVR",-1149
62,"USA","NJ","SVR",-613
63,"USA","NJ","SVR",-887
64,"USA","NJ","SVR",-49
65,"USA","NJ","SVR",-64
66,"USA","NJ","SVR",169
67,"USA","NJ","SVR",1839
68,"USA","NJ","SVR",1139
69,"USA","NJ","SVR",2976
70,"USA","NJ","SVR",3944
71,"USA","NJ","SVR",6250
72,"USA","NJ","SVR",7983
73,"USA","NJ","SVR",1638
74,"USA","NJ","SVR",2309
75,"USA","NJ","SVR",3320
76,"USA","NJ","SVR",3725
77,"USA","NJ","SVR",5169
78,"USA","NJ","SVR",5832
79,"USA","NJ","SVR",1677
80,"USA","NJ","SVR",2475
81,"USA","NJ","SVR",3007
82,"USA","NJ","SVR",5562
83,"USA","NJ","SVR",6004
84,"USA","NJ","SVR",7145
85,"USA","NJ","SVR",1005
86,"USA","NJ","SVR",1152
87,"USA","NJ","SVR",2563
88,"USA","NJ","SVR",3220
89,"USA","NJ","SVR",3704
90,"USA","NJ","SVR",4209
91,"USA","NJ","SVR",1680
92,"USA","NJ","SVR",419
93,"USA","NJ","SVR",1649
94,"USA","NJ","SVR",1729
95,"USA","NJ","SVR",273
96,"USA","NJ","SVR",-158
1,"USA","NJ","CUBIST",0
2,"USA","NJ","CUBIST",0
3,"USA","NJ","CUBIST",-23
4,"USA","NJ","CUBIST",-17
5,"USA","NJ","CUBIST",-28
6,"USA","NJ","CUBIST",-38
7,"USA","NJ","CUBIST",0
8,"USA","NJ","CUBIST",0
9,"USA","NJ","CUBIST",0
10,"USA","NJ","CUBIST",0
11,"USA","NJ","CUBIST",0
12,"USA","NJ","CUBIST",-34
13,"USA","NJ","CUBIST",-8
14,"USA","NJ","CUBIST",-40
15,"USA","NJ","CUBIST",-48
16,"USA","NJ","CUBIST",-69
17,"USA","NJ","CUBIST",-96
18,"USA","NJ","CUBIST",-134
19,"USA","NJ","CUBIST",0
20,"USA","NJ","CUBIST",-31
21,"USA","NJ","CUBIST",-37
22,"USA","NJ","CUBIST",-53
23,"USA","NJ","CUBIST",-74
24,"USA","NJ","CUBIST",-103
25,"USA","NJ","CUBIST",0
26,"USA","NJ","CUBIST",-5
27,"USA","NJ","CUBIST",-33
28,"USA","NJ","CUBIST",-67
29,"USA","NJ","CUBIST",-88
30,"USA","NJ","CUBIST",-124
31,"USA","NJ","CUBIST",0
32,"USA","NJ","CUBIST",-4
33,"USA","NJ","CUBIST",-9
34,"USA","NJ","CUBIST",-47
35,"USA","NJ","CUBIST",-62
36,"USA","NJ","CUBIST",-87
37,"USA","NJ","CUBIST",0
38,"USA","NJ","CUBIST",0
39,"USA","NJ","CUBIST",0
40,"USA","NJ","CUBIST",-2
41,"USA","NJ","CUBIST",-15
42,"USA","NJ","CUBIST",-30
43,"USA","NJ","CUBIST",-45
44,"USA","NJ","CUBIST",-107
45,"USA","NJ","CUBIST",-132
46,"USA","NJ","CUBIST",-195
47,"USA","NJ","CUBIST",-264
48,"USA","NJ","CUBIST",-442
49,"USA","NJ","CUBIST",-13
50,"USA","NJ","CUBIST",-43
51,"USA","NJ","CUBIST",-58
52,"USA","NJ","CUBIST",-126
53,"USA","NJ","CUBIST",-118
54,"USA","NJ","CUBIST",-254
55,"USA","NJ","CUBIST",2
56,"USA","NJ","CUBIST",111
57,"USA","NJ","CUBIST",107
58,"USA","NJ","CUBIST",250
59,"USA","NJ","CUBIST",404
60,"USA","NJ","CUBIST",729
61,"USA","NJ","CUBIST",-36
62,"USA","NJ","CUBIST",-2542
63,"USA","NJ","CUBIST",-2368
64,"USA","NJ","CUBIST",-2667
65,"USA","NJ","CUBIST",-3159
66,"USA","NJ","CUBIST",-3752
67,"USA","NJ","CUBIST",285
68,"USA","NJ","CUBIST",-232
69,"USA","NJ","CUBIST",-115
70,"USA","NJ","CUBIST",-257
71,"USA","NJ","CUBIST",-11
72,"USA","NJ","CUBIST",353
73,"USA","NJ","CUBIST",-143
74,"USA","NJ","CUBIST",-47
75,"USA","NJ","CUBIST",-46
76,"USA","NJ","CUBIST",-391
77,"USA","NJ","CUBIST",-319
78,"USA","NJ","CUBIST",-202
79,"USA","NJ","CUBIST",41
80,"USA","NJ","CUBIST",306
81,"USA","NJ","CUBIST",-156
82,"USA","NJ","CUBIST",392
83,"USA","NJ","CUBIST",-543
84,"USA","NJ","CUBIST",-135
85,"USA","NJ","CUBIST",-272
86,"USA","NJ","CUBIST",-564
87,"USA","NJ","CUBIST",-276
88,"USA","NJ","CUBIST",-258
89,"USA","NJ","CUBIST",-186
90,"USA","NJ","CUBIST",-264
91,"USA","NJ","CUBIST",395
92,"USA","NJ","CUBIST",-960
93,"USA","NJ","CUBIST",-1788
94,"USA","NJ","CUBIST",-2320
95,"USA","NJ","CUBIST",-3473
96,"USA","NJ","CUBIST",-4647
1,"USA","NJ","BRNN",0
2,"USA","NJ","BRNN",0
3,"USA","NJ","BRNN",-56
4,"USA","NJ","BRNN",0
5,"USA","NJ","BRNN",-169
6,"USA","NJ","BRNN",-598
7,"USA","NJ","BRNN",-192
8,"USA","NJ","BRNN",-290
9,"USA","NJ","BRNN",-368
10,"USA","NJ","BRNN",-606
11,"USA","NJ","BRNN",-1016
12,"USA","NJ","BRNN",-1457
13,"USA","NJ","BRNN",-187
14,"USA","NJ","BRNN",-589
15,"USA","NJ","BRNN",-1103
16,"USA","NJ","BRNN",-1624
17,"USA","NJ","BRNN",-2001
18,"USA","NJ","BRNN",-2306
19,"USA","NJ","BRNN",-172
20,"USA","NJ","BRNN",-579
21,"USA","NJ","BRNN",-1117
22,"USA","NJ","BRNN",-1707
23,"USA","NJ","BRNN",-2120
24,"USA","NJ","BRNN",-2120
25,"USA","NJ","BRNN",0
26,"USA","NJ","BRNN",-66
27,"USA","NJ","BRNN",-250
28,"USA","NJ","BRNN",-583
29,"USA","NJ","BRNN",-856
30,"USA","NJ","BRNN",-965
31,"USA","NJ","BRNN",0
32,"USA","NJ","BRNN",0
33,"USA","NJ","BRNN",0
34,"USA","NJ","BRNN",-186
35,"USA","NJ","BRNN",-737
36,"USA","NJ","BRNN",-1294
37,"USA","NJ","BRNN",-90
38,"USA","NJ","BRNN",-223
39,"USA","NJ","BRNN",-337
40,"USA","NJ","BRNN",-431
41,"USA","NJ","BRNN",-682
42,"USA","NJ","BRNN",-1163
43,"USA","NJ","BRNN",-211
44,"USA","NJ","BRNN",-498
45,"USA","NJ","BRNN",-814
46,"USA","NJ","BRNN",-1049
47,"USA","NJ","BRNN",-1205
48,"USA","NJ","BRNN",-1518
49,"USA","NJ","BRNN",-248
50,"USA","NJ","BRNN",-615
51,"USA","NJ","BRNN",-1151
52,"USA","NJ","BRNN",-1797
53,"USA","NJ","BRNN",-2432
54,"USA","NJ","BRNN",-2982
55,"USA","NJ","BRNN",-91
56,"USA","NJ","BRNN",-109
57,"USA","NJ","BRNN",-221
58,"USA","NJ","BRNN",-335
59,"USA","NJ","BRNN",-325
60,"USA","NJ","BRNN",40
61,"USA","NJ","BRNN",-93
62,"USA","NJ","BRNN",-38
63,"USA","NJ","BRNN",1686
64,"USA","NJ","BRNN",2994
65,"USA","NJ","BRNN",4673
66,"USA","NJ","BRNN",6198
67,"USA","NJ","BRNN",1211
68,"USA","NJ","BRNN",1260
69,"USA","NJ","BRNN",2967
70,"USA","NJ","BRNN",4598
71,"USA","NJ","BRNN",7394
72,"USA","NJ","BRNN",10159
73,"USA","NJ","BRNN",-643
74,"USA","NJ","BRNN",-879
75,"USA","NJ","BRNN",-1237
76,"USA","NJ","BRNN",-1814
77,"USA","NJ","BRNN",-1788
78,"USA","NJ","BRNN",-1891
79,"USA","NJ","BRNN",-20
80,"USA","NJ","BRNN",-5
81,"USA","NJ","BRNN",-944
82,"USA","NJ","BRNN",-347
83,"USA","NJ","BRNN",-1788
84,"USA","NJ","BRNN",-1394
85,"USA","NJ","BRNN",-1288
86,"USA","NJ","BRNN",-2690
87,"USA","NJ","BRNN",-3110
88,"USA","NJ","BRNN",-3825
89,"USA","NJ","BRNN",-4215
90,"USA","NJ","BRNN",-4551
91,"USA","NJ","BRNN",797
92,"USA","NJ","BRNN",-150
93,"USA","NJ","BRNN",396
94,"USA","NJ","BRNN",1516
95,"USA","NJ","BRNN",1476
96,"USA","NJ","BRNN",2350
1,"USA","NJ","QRF",0
2,"USA","NJ","QRF",0
3,"USA","NJ","QRF",0
4,"USA","NJ","QRF",0
5,"USA","NJ","QRF",0
6,"USA","NJ","QRF",0
7,"USA","NJ","QRF",0
8,"USA","NJ","QRF",0
9,"USA","NJ","QRF",0
10,"USA","NJ","QRF",0
11,"USA","NJ","QRF",0
12,"USA","NJ","QRF",0
13,"USA","NJ","QRF",0
14,"USA","NJ","QRF",0
15,"USA","NJ","QRF",0
16,"USA","NJ","QRF",0
17,"USA","NJ","QRF",0
18,"USA","NJ","QRF",0
19,"USA","NJ","QRF",0
20,"USA","NJ","QRF",0
21,"USA","NJ","QRF",0
22,"USA","NJ","QRF",0
23,"USA","NJ","QRF",0
24,"USA","NJ","QRF",0
25,"USA","NJ","QRF",0
26,"USA","NJ","QRF",0
27,"USA","NJ","QRF",0
28,"USA","NJ","QRF",0
29,"USA","NJ","QRF",0
30,"USA","NJ","QRF",0
31,"USA","NJ","QRF",0
32,"USA","NJ","QRF",0
33,"USA","NJ","QRF",0
34,"USA","NJ","QRF",0
35,"USA","NJ","QRF",0
36,"USA","NJ","QRF",0
37,"USA","NJ","QRF",0
38,"USA","NJ","QRF",0
39,"USA","NJ","QRF",0
40,"USA","NJ","QRF",0
41,"USA","NJ","QRF",0
42,"USA","NJ","QRF",2
43,"USA","NJ","QRF",0
44,"USA","NJ","QRF",-1
45,"USA","NJ","QRF",0
46,"USA","NJ","QRF",-10
47,"USA","NJ","QRF",-8
48,"USA","NJ","QRF",-6
49,"USA","NJ","QRF",0
50,"USA","NJ","QRF",0
51,"USA","NJ","QRF",0
52,"USA","NJ","QRF",0
53,"USA","NJ","QRF",0
54,"USA","NJ","QRF",0
55,"USA","NJ","QRF",0
56,"USA","NJ","QRF",0
57,"USA","NJ","QRF",0
58,"USA","NJ","QRF",0
59,"USA","NJ","QRF",0
60,"USA","NJ","QRF",0
61,"USA","NJ","QRF",0
62,"USA","NJ","QRF",0
63,"USA","NJ","QRF",0
64,"USA","NJ","QRF",0
65,"USA","NJ","QRF",0
66,"USA","NJ","QRF",0
67,"USA","NJ","QRF",0
68,"USA","NJ","QRF",0
69,"USA","NJ","QRF",0
70,"USA","NJ","QRF",0
71,"USA","NJ","QRF",0
72,"USA","NJ","QRF",0
73,"USA","NJ","QRF",0
74,"USA","NJ","QRF",0
75,"USA","NJ","QRF",0
76,"USA","NJ","QRF",0
77,"USA","NJ","QRF",0
78,"USA","NJ","QRF",0
79,"USA","NJ","QRF",0
80,"USA","NJ","QRF",0
81,"USA","NJ","QRF",0
82,"USA","NJ","QRF",0
83,"USA","NJ","QRF",0
84,"USA","NJ","QRF",0
85,"USA","NJ","QRF",0
86,"USA","NJ","QRF",0
87,"USA","NJ","QRF",0
88,"USA","NJ","QRF",0
89,"USA","NJ","QRF",0
90,"USA","NJ","QRF",3527
91,"USA","NJ","QRF",7638
92,"USA","NJ","QRF",13474
93,"USA","NJ","QRF",16776
94,"USA","NJ","QRF",20316
95,"USA","NJ","QRF",18801
96,"USA","NJ","QRF",25134
1,"USA","NY","KNN",-4177
2,"USA","NY","KNN",-4493
3,"USA","NY","KNN",-1147
4,"USA","NY","KNN",-6168
5,"USA","NY","KNN",0
6,"USA","NY","KNN",0
7,"USA","NY","KNN",0
8,"USA","NY","KNN",0
9,"USA","NY","KNN",0
10,"USA","NY","KNN",0
11,"USA","NY","KNN",0
12,"USA","NY","KNN",0
13,"USA","NY","KNN",-1434
14,"USA","NY","KNN",-1434
15,"USA","NY","KNN",-6168
16,"USA","NY","KNN",-6168
17,"USA","NY","KNN",-6168
18,"USA","NY","KNN",0
19,"USA","NY","KNN",-5157
20,"USA","NY","KNN",0
21,"USA","NY","KNN",0
22,"USA","NY","KNN",0
23,"USA","NY","KNN",0
24,"USA","NY","KNN",0
25,"USA","NY","KNN",0
26,"USA","NY","KNN",-29
27,"USA","NY","KNN",-9313
28,"USA","NY","KNN",-21
29,"USA","NY","KNN",0
30,"USA","NY","KNN",0
31,"USA","NY","KNN",0
32,"USA","NY","KNN",-344
33,"USA","NY","KNN",-1764
34,"USA","NY","KNN",-9130
35,"USA","NY","KNN",-6
36,"USA","NY","KNN",-7849
37,"USA","NY","KNN",0
38,"USA","NY","KNN",0
39,"USA","NY","KNN",1
40,"USA","NY","KNN",-314
41,"USA","NY","KNN",-302
42,"USA","NY","KNN",-4253
43,"USA","NY","KNN",-1394
44,"USA","NY","KNN",-1358
45,"USA","NY","KNN",-5080
46,"USA","NY","KNN",113
47,"USA","NY","KNN",-10487
48,"USA","NY","KNN",-12684
49,"USA","NY","KNN",14
50,"USA","NY","KNN",-1013
51,"USA","NY","KNN",-1985
52,"USA","NY","KNN",302
53,"USA","NY","KNN",674
54,"USA","NY","KNN",-2915
55,"USA","NY","KNN",2409
56,"USA","NY","KNN",4270
57,"USA","NY","KNN",-6737
58,"USA","NY","KNN",9129
59,"USA","NY","KNN",2063
60,"USA","NY","KNN",16391
61,"USA","NY","KNN",16346
62,"USA","NY","KNN",24673
63,"USA","NY","KNN",30018
64,"USA","NY","KNN",34754
65,"USA","NY","KNN",41773
66,"USA","NY","KNN",47563
67,"USA","NY","KNN",19689
68,"USA","NY","KNN",41404
69,"USA","NY","KNN",49519
70,"USA","NY","KNN",64020
71,"USA","NY","KNN",73366
72,"USA","NY","KNN",92803
73,"USA","NY","KNN",14108
74,"USA","NY","KNN",-9971
75,"USA","NY","KNN",-1911
76,"USA","NY","KNN",9275
77,"USA","NY","KNN",-2226
78,"USA","NY","KNN",30562
79,"USA","NY","KNN",-14622
80,"USA","NY","KNN",-26276
81,"USA","NY","KNN",-35586
82,"USA","NY","KNN",260
83,"USA","NY","KNN",13722
84,"USA","NY","KNN",6194
85,"USA","NY","KNN",4755
86,"USA","NY","KNN",11632
87,"USA","NY","KNN",20148
88,"USA","NY","KNN",17081
89,"USA","NY","KNN",17600
90,"USA","NY","KNN",22303
91,"USA","NY","KNN",19842
92,"USA","NY","KNN",31910
93,"USA","NY","KNN",35316
94,"USA","NY","KNN",52126
95,"USA","NY","KNN",64891
96,"USA","NY","KNN",113397
1,"USA","NY","SVR",-7975
2,"USA","NY","SVR",-12004
3,"USA","NY","SVR",-17980
4,"USA","NY","SVR",-22992
5,"USA","NY","SVR",-28224
6,"USA","NY","SVR",-33328
7,"USA","NY","SVR",-7727
8,"USA","NY","SVR",-11735
9,"USA","NY","SVR",-17641
10,"USA","NY","SVR",-22459
11,"USA","NY","SVR",-27797
12,"USA","NY","SVR",-32907
13,"USA","NY","SVR",-7903
14,"USA","NY","SVR",-11837
15,"USA","NY","SVR",-17733
16,"USA","NY","SVR",-22659
17,"USA","NY","SVR",-28265
18,"USA","NY","SVR",-33314
19,"USA","NY","SVR",-7967
20,"USA","NY","SVR",-11803
21,"USA","NY","SVR",-17652
22,"USA","NY","SVR",-22640
23,"USA","NY","SVR",-28213
24,"USA","NY","SVR",-33266
25,"USA","NY","SVR",-7982
26,"USA","NY","SVR",-11874
27,"USA","NY","SVR",-17847
28,"USA","NY","SVR",-22771
29,"USA","NY","SVR",-28158
30,"USA","NY","SVR",-33323
31,"USA","NY","SVR",-7916
32,"USA","NY","SVR",-11943
33,"USA","NY","SVR",-18005
34,"USA","NY","SVR",-23047
35,"USA","NY","SVR",-28361
36,"USA","NY","SVR",-33809
37,"USA","NY","SVR",-7774
38,"USA","NY","SVR",-11657
39,"USA","NY","SVR",-17488
40,"USA","NY","SVR",-22561
41,"USA","NY","SVR",-28035
42,"USA","NY","SVR",-33346
43,"USA","NY","SVR",-7845
44,"USA","NY","SVR",-11817
45,"USA","NY","SVR",-17748
46,"USA","NY","SVR",-22640
47,"USA","NY","SVR",-28288
48,"USA","NY","SVR",-33588
49,"USA","NY","SVR",-8042
50,"USA","NY","SVR",-11779
51,"USA","NY","SVR",-17731
52,"USA","NY","SVR",-22734
53,"USA","NY","SVR",-27735
54,"USA","NY","SVR",-32469
55,"USA","NY","SVR",-6329
56,"USA","NY","SVR",-7720
57,"USA","NY","SVR",-11158
58,"USA","NY","SVR",-12841
59,"USA","NY","SVR",-14694
60,"USA","NY","SVR",-14591
61,"USA","NY","SVR",-623
62,"USA","NY","SVR",-691
63,"USA","NY","SVR",1131
64,"USA","NY","SVR",2761
65,"USA","NY","SVR",4793
66,"USA","NY","SVR",6707
67,"USA","NY","SVR",2524
68,"USA","NY","SVR",5884
69,"USA","NY","SVR",8985
70,"USA","NY","SVR",12133
71,"USA","NY","SVR",17332
72,"USA","NY","SVR",22800
73,"USA","NY","SVR",6866
74,"USA","NY","SVR",8770
75,"USA","NY","SVR",12071
76,"USA","NY","SVR",17497
77,"USA","NY","SVR",22862
78,"USA","NY","SVR",28068
79,"USA","NY","SVR",5873
80,"USA","NY","SVR",7430
81,"USA","NY","SVR",9340
82,"USA","NY","SVR",10694
83,"USA","NY","SVR",16664
84,"USA","NY","SVR",20652
85,"USA","NY","SVR",3522
86,"USA","NY","SVR",4200
87,"USA","NY","SVR",5222
88,"USA","NY","SVR",4730
89,"USA","NY","SVR",4384
90,"USA","NY","SVR",3717
91,"USA","NY","SVR",-476
92,"USA","NY","SVR",2578
93,"USA","NY","SVR",7613
94,"USA","NY","SVR",8204
95,"USA","NY","SVR",6621
96,"USA","NY","SVR",4322
1,"USA","NY","CUBIST",0
2,"USA","NY","CUBIST",0
3,"USA","NY","CUBIST",0
4,"USA","NY","CUBIST",0
5,"USA","NY","CUBIST",0
6,"USA","NY","CUBIST",0
7,"USA","NY","CUBIST",0
8,"USA","NY","CUBIST",0
9,"USA","NY","CUBIST",0
10,"USA","NY","CUBIST",0
11,"USA","NY","CUBIST",0
12,"USA","NY","CUBIST",0
13,"USA","NY","CUBIST",0
14,"USA","NY","CUBIST",0
15,"USA","NY","CUBIST",0
16,"USA","NY","CUBIST",0
17,"USA","NY","CUBIST",0
18,"USA","NY","CUBIST",0
19,"USA","NY","CUBIST",0
20,"USA","NY","CUBIST",0
21,"USA","NY","CUBIST",0
22,"USA","NY","CUBIST",0
23,"USA","NY","CUBIST",0
24,"USA","NY","CUBIST",0
25,"USA","NY","CUBIST",0
26,"USA","NY","CUBIST",0
27,"USA","NY","CUBIST",0
28,"USA","NY","CUBIST",0
29,"USA","NY","CUBIST",0
30,"USA","NY","CUBIST",0
31,"USA","NY","CUBIST",0
32,"USA","NY","CUBIST",0
33,"USA","NY","CUBIST",0
34,"USA","NY","CUBIST",0
35,"USA","NY","CUBIST",0
36,"USA","NY","CUBIST",0
37,"USA","NY","CUBIST",0
38,"USA","NY","CUBIST",0
39,"USA","NY","CUBIST",1
40,"USA","NY","CUBIST",2
41,"USA","NY","CUBIST",11
42,"USA","NY","CUBIST",23
43,"USA","NY","CUBIST",-11
44,"USA","NY","CUBIST",1
45,"USA","NY","CUBIST",-27
46,"USA","NY","CUBIST",-95
47,"USA","NY","CUBIST",-279
48,"USA","NY","CUBIST",-581
49,"USA","NY","CUBIST",-58
50,"USA","NY","CUBIST",-263
51,"USA","NY","CUBIST",-601
52,"USA","NY","CUBIST",-1542
53,"USA","NY","CUBIST",-2870
54,"USA","NY","CUBIST",-4968
55,"USA","NY","CUBIST",260
56,"USA","NY","CUBIST",768
57,"USA","NY","CUBIST",631
58,"USA","NY","CUBIST",556
59,"USA","NY","CUBIST",673
60,"USA","NY","CUBIST",1084
61,"USA","NY","CUBIST",-394
62,"USA","NY","CUBIST",-823
63,"USA","NY","CUBIST",-43
64,"USA","NY","CUBIST",242
65,"USA","NY","CUBIST",616
66,"USA","NY","CUBIST",535
67,"USA","NY","CUBIST",-652
68,"USA","NY","CUBIST",272
69,"USA","NY","CUBIST",-88
70,"USA","NY","CUBIST",-226
71,"USA","NY","CUBIST",625
