date;state;confirmed;tmax;tmin;prec
20/03/2020;Illinois;585;17,569811;4,451852;164,4186
21/03/2020;Illinois;753;7,07857143;-1,5025;0,4027778
22/03/2020;Illinois;1049;3,68055556;-2,79166667;0,5261905
23/03/2020;Illinois;1285;3,54375;-1,275;46,88861
24/03/2020;Illinois;1537;5,60666667;-0,55357143;0,4225352
25/03/2020;Illinois;1865;9,1666667;0,3414634;14,904977
26/03/2020;Illinois;2538;13,67142857;2,37058824;0,6055046
27/03/2020;Illinois;3024;13,5;4,592;27,97904
28/03/2020;Illinois;3491;15,915094;6,984615;134,6
29/03/2020;Illinois;4596;19,527273;6,935849;69,63395
30/03/2020;Illinois;5056;14,0604651;3,2452381;1,436242
31/03/2020;Illinois;5994;13,50303;2,7625;1
01/04/2020;Illinois;6980;10,34864865;1,05526316;0,2604857
02/04/2020;Illinois;7695;14,12162162;0,922222222;0,01128668
03/04/2020;Illinois;8904;17,8830189;4,7823529;2,389583
04/04/2020;Illinois;10357;19,170968;1,896774;11,95455
05/04/2020;Illinois;11259;10,5586957;0,7276596;3,568035
06/04/2020;Illinois;12262;15,35151515;2,70909091;0,2516704
07/04/2020;Illinois;13553;20,306667;6,177778;16,8195
08/04/2020;Illinois;15078;26,0634146;10,095;8,796137
09/04/2020;Illinois;16422;23,77069;3,810345;38,76413
10/04/2020;Illinois;17887;11,93;-0,80487805;0,9544469
11/04/2020;Illinois;19180;13,66486486;0,875;0,5303371
12/04/2020;Illinois;20852;17,818033;6,156667;52,26834
13/04/2020;Illinois;22025;16,6403509;0,9857143;49,406977
14/04/2020;Illinois;23248;6,49722222;-1,66944444;0,3438202
15/04/2020;Illinois;24593;6,8833333;-2,3583333;9,484262
16/04/2020;Illinois;25734;6,7875;-3,521875;2,065909
17/04/2020;Illinois;27578;8,015789;-1,505556;66,79167
18/04/2020;Illinois;29160;8,4275;-0,55;14,91403
19/04/2020;Illinois;30357;15,206061;1,106061;0,325
20/04/2020;Illinois;31513;17,00909091;1,4030303;0,5213483
21/04/2020;Illinois;33059;17,5511111;2,3844444;4,546584
